##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRR292678_2.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	6111112
1108	1	-0.24543675066342985
1108	2	-0.37202458317461407
1108	3	-0.3376503110125313
1108	4	-0.4089287886764694
1108	5	-0.2936676532954152
1108	6	-0.2698312442691986
1108	7	-0.2905487002322076
1108	8	-0.3203685885098366
1108	9	-0.32044745357548265
1108	10-11	-0.3234794685004019
1108	12-13	-0.3424261535494537
1108	14-15	-0.3568248429853682
1108	16-17	-0.37242670861854776
1108	18-19	-0.3547671534087513
1108	20-21	-0.38269895062258286
1108	22-23	-0.37735158417733317
1108	24-25	-0.3666156103312659
1108	26-27	-0.44518197763087386
1108	28-29	-0.408695746777596
1108	30-31	-0.42796907404827067
1108	32-33	-0.3822331532622698
1108	34-35	-0.37102804232153375
1108	36-37	-0.3003317073002094
1108	38-39	-0.31323076875973044
1108	40-41	-0.27250709232642123
1108	42-43	-0.27805406962986723
1108	44-45	-0.28515806079753503
1108	46-47	-0.21865242339741542
1108	48-49	-0.2650123204485695
1108	50-51	-0.3418345180207609
1108	52-53	-0.4072655408805588
1108	54-55	-0.39332403587928866
1108	56-57	-0.3575918825840958
1108	58-59	-0.40375505149426516
1108	60-61	-0.4021178020861882
1108	62-63	-0.3103281926980017
1108	64-65	-0.26162208500443285
1108	66-67	-0.16462548449828773
1108	68-69	-0.11723680109535906
1108	70-71	-0.09512868914723072
1108	72-73	-0.05207809299382404
1108	74-75	-0.032308084658474456
1108	76-77	0.055976484201998744
1108	78-79	0.09096673193791815
1108	80-81	0.2535139660382697
1108	82-83	0.35540570330498156
1108	84-85	0.3895000318316235
1108	86-87	0.42778243834901986
1108	88-89	0.5180075434545159
1108	90	0.5513897517117101
1201	1	0.08728414489507941
1201	2	0.09422437658078309
1201	3	0.08528231837208722
1201	4	0.08271044399070604
1201	5	0.07507716875328185
1201	6	0.07688910287528472
1201	7	0.07598926733263767
1201	8	0.103659352945499
1201	9	0.11896501068917331
1201	10-11	0.10301496304930424
1201	12-13	0.11711309222965838
1201	14-15	0.12127873625394159
1201	16-17	0.12645744038091777
1201	18-19	0.14160042149217844
1201	20-21	0.12684861644842726
1201	22-23	0.11077082385494919
1201	24-25	0.12144880464634156
1201	26-27	0.11911693075392549
1201	28-29	0.12731283701897667
1201	30-31	0.13855671244845524
1201	32-33	0.1053375993282657
1201	34-35	0.09077189533693542
1201	36-37	0.04357116277752482
1201	38-39	0.05309753748934298
1201	40-41	0.06615636258088387
1201	42-43	0.08045668042871057
1201	44-45	0.05274526088398801
1201	46-47	0.039283612297907666
1201	48-49	0.04400217196392475
1201	50-51	0.08514477589218927
1201	52-53	0.11498622530783109
1201	54-55	0.12264915433446788
1201	56-57	0.06418157720893447
1201	58-59	0.05319103305032513
1201	60-61	0.026605691789903574
1201	62-63	0.03780213302854918
1201	64-65	-0.01914858880117265
1201	66-67	-0.022243316385186063
1201	68-69	-0.07919338715686308
1201	70-71	-0.08244951707155934
1201	72-73	-0.15305009834604277
1201	74-75	-0.15913655806478033
1201	76-77	-0.1915723251783774
1201	78-79	-0.209525464332593
1201	80-81	-0.2735346542429937
1201	82-83	-0.3150423472320867
1201	84-85	-0.24781495822272603
1201	86-87	-0.4288455088776999
1201	88-89	-0.5274512320077065
1201	90	-0.4634792964867529
1202	1	0.10766575807808465
1202	2	0.13229896461201207
1202	3	0.11390330709715357
1202	4	0.1022825746643079
1202	5	0.11962761685966683
1202	6	0.13583677561307184
1202	7	0.13924454342399173
1202	8	0.0870360514132642
1202	9	0.15955477651744587
1202	10-11	0.12748735391371468
1202	12-13	0.1424527857827087
1202	14-15	0.11434031474483675
1202	16-17	0.1522307852782845
